path,access,source,router,handler
/,public,main.go:114,http,mrouter(fs
/,public,mod/network/webdav/litmus_test_server.go:59,http,h
/,public,mod/network/webdav/litmus_test_server.go:83,http,"http.HandlerFunc(func(w http.ResponseWriter, r *http.Request"
/,public,mod/network/websocketproxy/websocketproxy_test.go:47,mux2,"func(w http.ResponseWriter, r *http.Request"
/AOB/,public,system.go:41,http,"func(w http.ResponseWriter, r *http.Request"
/AOB/SystemAOB/functions/info/version.inf,public,system.go:44,http,systemIdServeVersonNumber
/AOB/SystemAOB/functions/system_statistic/getDriveStat.php,public,system.go:45,http,systemIdGetDriveStates
/AOB/hb.php,public,system.go:40,http,systemIdResponseBetaScan
/alpnas/auth/admin,public,auth.go:81,http,"func(w http.ResponseWriter, r *http.Request"
/api/ajgi/addExt,authenticated,agi.go:88,externalAGIRouter,gw.AddExternalEndPoint
/api/ajgi/exec,public,agi.go:76,http,gw.HandleAgiExecutionRequestWithToken
/api/ajgi/interface,public,agi.go:47,http,"func(w http.ResponseWriter, r *http.Request"
/api/ajgi/listExt,authenticated,agi.go:87,externalAGIRouter,gw.ListExternalEndpoint
/api/ajgi/rmExt,authenticated,agi.go:89,externalAGIRouter,gw.RemoveExternalEndPoint
/api/auth/login,public-or-token,auth.go:62,http,authAgent.HandleAutologinTokenLogin
/ldapLogin.html,public-or-token,ldap.go:47,http,ldapHandler.HandleLoginPage
/media/,public-or-token,mediaServer.go:40,http,mediaServer.ServerMedia
/media/download/,public-or-token,mediaServer.go:41,http,mediaServer.ServerMedia
/media/getMime/,public-or-token,mediaServer.go:42,http,mediaServer.ServeMediaMime
/media/transcode/,public-or-token,mediaServer.go:48,http,mediaServer.ServeVideoWithTranscode
/media/transcode/,public-or-token,mediaServer.go:51,http,"func(w http.ResponseWriter, r *http.Request"
/public/register/checkPublicRegister,public,register.go:42,http,registerHandler.HandleRegisterCheck
/public/register/handleRegister.html,public,register.go:41,http,registerHandler.HandleRegisterRequest
/public/register/register.html,public,register.go:40,http,registerHandler.HandleRegisterInterface
/reset.system,public,system.resetpw.go:27,http,system_resetpw_alpnasResetSystem
/share,public-or-token,file_system.go:210,http,shareManager.HandleShareAccess
/ssdp.xml,public,mod/network/ssdp/ssdp.go:75,http,a.handleSSDP
/system/ajgi/interface,public,agi.go:37,http,"func(w http.ResponseWriter, r *http.Request"
/system/apt/list,authenticated,apt.go:28,router,apt.HandlePackageListRequest
/system/arsm/aecron/add,authenticated,scheduler.go:91,router,systemScheduler.HandleAddJob
/system/arsm/aecron/list,public,scheduler.go:82,http,"func(w http.ResponseWriter, r *http.Request"
/system/arsm/aecron/listlog,authenticated,scheduler.go:93,router,systemScheduler.HandleShowLog
/system/arsm/aecron/remove,authenticated,scheduler.go:92,router,systemScheduler.HandleJobRemoval
/system/auth/blacklist/ban,admin,auth.go:131,adminRouter,authAgent.BlacklistManager.HandleAddBannedIP
/system/auth/blacklist/enable,admin,auth.go:129,adminRouter,authAgent.BlacklistManager.HandleSetBlacklistEnable
/system/auth/blacklist/list,admin,auth.go:130,adminRouter,authAgent.BlacklistManager.HandleListBannedIPs
/system/auth/blacklist/unban,admin,auth.go:132,adminRouter,authAgent.BlacklistManager.HandleRemoveBannedIP
/system/auth/checkLogin,public,auth.go:61,http,authAgent.CheckLogin
/system/auth/csvimport,admin,auth.go:96,adminRouter,authAgent.HandleCreateUserAccountsFromCSV
/system/auth/groupdel,admin,auth.go:97,adminRouter,authAgent.HandleUserDeleteByGroup
/system/auth/ldap/checkldap,public,ldap.go:48,http,ldapHandler.HandleCheckLDAP
/system/auth/ldap/config/read,admin,ldap.go:38,adminRouter,ldapHandler.ReadConfig
/system/auth/ldap/config/syncorizeUser,admin,ldap.go:41,adminRouter,ldapHandler.SynchronizeUser
/system/auth/ldap/config/testConnection,admin,ldap.go:40,adminRouter,ldapHandler.TestConnection
/system/auth/ldap/config/write,admin,ldap.go:39,adminRouter,ldapHandler.WriteConfig
/system/auth/ldap/login,public,ldap.go:44,http,ldapHandler.HandleLogin
/system/auth/ldap/newPassword,public,ldap.go:46,http,ldapHandler.HandleNewPasswordPage
/system/auth/ldap/setPassword,public,ldap.go:45,http,ldapHandler.HandleSetPassword
/system/auth/logger/index,admin,auth.go:109,adminRouter,authAgent.Logger.HandleIndexListing
/system/auth/logger/list,admin,auth.go:110,adminRouter,authAgent.Logger.HandleTableListing
/system/auth/login,public-or-token,auth.go:58,http,authAgent.HandleLogin
/system/auth/logout,public,auth.go:59,http,authAgent.HandleLogout
/system/auth/oauth/authorize,public,oauth.go:23,http,oAuthHandler.HandleAuthorize
/system/auth/oauth/checkoauth,public,oauth.go:24,http,oAuthHandler.CheckOAuth
/system/auth/oauth/config/read,admin,oauth.go:25,adminRouter,oAuthHandler.ReadConfig
/system/auth/oauth/config/write,admin,oauth.go:26,adminRouter,oAuthHandler.WriteConfig
/system/auth/oauth/login,public,oauth.go:22,http,oAuthHandler.HandleLogin
